country,year,primary_energy_consumption,gdp,population
Luxembourg,0.6422764227642277,5.493533627195049e-4,6.808671701728811e-5,4.488416425035663e-5
Botswana,0.04878048780487805,0.0011153963364018114,3.3668997568087804e-4,2.2401250881374558e-5
United States Territories (Shift),0.8699186991869918,0.0011153963364018114,3.3668997568087804e-4,8.695984741435039e-4
Vietnam,0.13008130081300814,0.0011153963364018114,3.3668997568087804e-4,0.0023266647031250907
United Arab Emirates,0.016260162601626018,0.0011153963364018114,3.3668997568087804e-4,5.931903437717961e-6
Middle East (EI),0.8780487804878049,0.09760490032994969,3.3668997568087804e-4,8.695984741435039e-4
Brunei,0.5203252032520326,0.0011153963364018114,3.3668997568087804e-4,1.256483644941818e-5
Poland,0.024390243902439025,0.0011153963364018114,3.3668997568087804e-4,0.00308715003711066
Kosovo,0.9105691056910569,3.54485257147604e-4,3.3668997568087804e-4,2.249242201479938e-4
USSR,0.5040650406504065,0.0011153963364018114,0.011229520291958532,0.027489392513630976
Armenia,0.8617886178861789,4.7447108175634314e-4,1.9825894297929224e-4,3.7595283832490345e-4
USSR,0.6585365853658537,0.17857172731973608,0.021152609749118742,0.03321745221253389
Djibouti,0.959349593495935,4.306283576305413e-5,2.123253155776213e-5,1.311784188870975e-4
Cambodia,0.6504065040650406,1.7196538398587567e-5,6.867687259349647e-5,7.702786176972824e-4
China,0.4065040650406504,0.0011153963364018114,0.0033602795829082246,0.06761422373120578
Central African Republic,0.9024390243902439,1.7196538398587567e-5,3.3348843723694094e-5,5.879455487533997e-4
Comoros,0.6829268292682927,2.4956427607927534e-6,2.0971257258509766e-6,4.52236166912335e-5
Non-OECD (EI),0.7317073170731707,0.525017947216694,3.3668997568087804e-4,8.695984741435039e-4
Bulgaria,0.18699186991869918,0.0011153963364018114,3.3668997568087804e-4,6.554285945629025e-4
Kuwait,0.14634146341463414,0.0011153963364018114,3.3668997568087804e-4,1.379549138062356e-5
Ireland,0.8211382113821138,0.002380843193796287,0.0012141230258945045,4.7570400197355736e-4
Middle East (Shift),0.926829268292683,0.0011153963364018114,3.3668997568087804e-4,8.695984741435039e-4
South Africa,0.6260162601626016,0.0076917789589933325,0.0013833540088848337,0.003380604621364322
Bahrain,0.5447154471544715,0.0011153963364018114,7.170986165530417e-6,2.52446467208104e-5
Asia Pacific (EI),0.6178861788617886,0.15354241914430977,3.3668997568087804e-4,8.695984741435039e-4
Turkey,0.3821138211382114,0.0011153963364018114,2.849995561741317e-4,0.002459278492494519
Falkland Islands,0.967479674796748,2.6906148514796874e-6,3.3668997568087804e-4,2.356652610408443e-7
Bermuda,0.943089430894309,4.120410183183869e-5,3.3668997568087804e-4,7.614001527204113e-6
Comoros,0.959349593495935,1.607869841198248e-5,1.0117535118153627e-5,9.626590314254349e-5
Gambia,0.9349593495934959,3.0129687080820846e-5,2.5774201786758297e-5,2.798281354653465e-4
North America,0.4065040650406504,0.0011153963364018114,3.3668997568087804e-4,0.02698176568817226
Ghana,0.983739837398374,0.001486584202651596,0.001083353629947432,0.004080787988016851
United States,0.12195121951219512,0.0011153963364018114,0.0071141304783300715,0.01203837803058433
ASEAN (Ember),0.8211382113821138,0.0011153963364018114,3.3668997568087804e-4,8.695984741435039e-4
High-income countries,0.5365853658536586,0.4220075496575641,3.3668997568087804e-4,0.10102581527049999
New Zealand,0.5447154471544715,0.001187263049029015,3.560620321501696e-4,3.3850356503151895e-4
Honduras,0.7479674796747967,2.315618530391818e-4,1.1976274536739512e-4,6.641063214614081e-4
Syria,0.22764227642276422,0.0011153963364018114,3.3668997568087804e-4,3.2086881806912875e-4
High-income countries,0.8130081300813008,0.8617909647858435,3.3668997568087804e-4,0.13345845654712715
Venezuela,0.4715447154471545,0.0011153963364018114,6.225771788839096e-4,9.415313176034614e-4
Bulgaria,0.3333333333333333,0.0011153963364018114,1.2198311100275942e-4,8.244699439104436e-4
Middle East (Shift),0.34959349593495936,0.0011153963364018114,3.3668997568087804e-4,8.695984741435039e-4
Yugoslavia,0.3333333333333333,0.0011153963364018114,3.3668997568087804e-4,8.695984741435039e-4
Lower-middle-income countries,0.7804878048780488,0.10882477725875936,3.3668997568087804e-4,0.28411968774618906
Asia,0.16260162601626016,0.0011153963364018114,3.3668997568087804e-4,0.1338519957812612
Bahamas,0.975609756097561,1.759428146358891e-4,3.3668997568087804e-4,5.0295764532633144e-5
Oceania,0.3902439024390244,0.0011153963364018114,3.3668997568087804e-4,0.0014709313261355133
Upper-middle-income countries,0.4065040650406504,0.0011153963364018114,3.3668997568087804e-4,0.114211159843791
East Germany,0.6585365853658537,0.022685197723515443,3.3668997568087804e-4,8.695984741435039e-4
Saint Lucia,0.6504065040650406,6.083129229432337e-6,1.5625867122008742e-6,1.4892900974362807e-5
Europe,0.3821138211382114,0.0011153963364018114,3.3668997568087804e-4,0.06714468468771448
Iran,0.6097560975609756,0.004232831090673955,0.002398739906826809,0.0040837636348255634
Bangladesh,0.4878048780487805,0.0011153963364018114,3.636682192346431e-4,0.006263847777279867
Central & South America (EIA),0.6829268292682927,0.044726272650098146,3.3668997568087804e-4,8.695984741435039e-4
Yemen,0.9349593495934959,6.80946525793806e-4,5.780093027738121e-4,0.003544266190211668
Kosovo,0.8211382113821138,0.0011153963364018114,3.3668997568087804e-4,2.2850929036118e-4
Venezuela,0.8373983739837398,0.009540829276371317,0.002237201241245131,0.003204376227331178
Ukraine,0.975609756097561,0.01193816710903972,0.003298741043639014,0.00545756880503812
Europe (Shift),0.9349593495934959,0.0011153963364018114,3.3668997568087804e-4,8.695984741435039e-4
Egypt,0.024390243902439025,0.0011153963364018114,3.3668997568087804e-4,0.0012867051044538073
Non-OECD (EI),0.9349593495934959,1,3.3668997568087804e-4,8.695984741435039e-4
Tunisia,0.37398373983739835,0.0011153963364018114,3.3668997568087804e-4,4.210627241544005e-4
Italy,0.7479674796747967,0.024765731905096334,0.011767982510564124,0.007063910953965637
India,0.7723577235772358,0.03851502076080574,0.016844912000274,0.11985583058331643
Suriname,0.2926829268292683,0.0011153963364018114,3.3668997568087804e-4,1.953200146899753e-5
Chad,0.926829268292683,5.4072259817176325e-5,1.8705117005326485e-4,0.0017022707126615874
Norway,0.17886178861788618,0.0011153963364018114,9.347660853399985e-5,3.331261461557753e-4
