country,model,RMSE,MAPE
Cyprus,Gradient Boosting (XGB substitute),3.9628211514772946,11.247915783169955
Cyprus,Random Forest,3.509242103460662,9.735912411136118
Czechia,ARIMA,29.594990978810955,4.825427286419962
Czechia,Exponential Smoothing,15.461038901446807,2.686225321289849
Czechia,Gradient Boosting (XGB substitute),20.925080742832623,3.5275320669806787
Czechia,Random Forest,23.609257886514946,3.8771944146900252
Czechoslovakia,ARIMA,90.53174352926082,7.175198310616369
Czechoslovakia,Exponential Smoothing,119.68205530818223,10.1466966767056
Czechoslovakia,Gradient Boosting (XGB substitute),78.45024382695351,5.931671107357895
Czechoslovakia,Random Forest,77.41092685045959,6.102121249508752
Democratic Republic of Congo,ARIMA,6.929236757594702,14.7420908477298
Democratic Republic of Congo,Exponential Smoothing,6.5582680354499105,13.179768883568025
Democratic Republic of Congo,Gradient Boosting (XGB substitute),10.566908766944039,24.75182497439806
Democratic Republic of Congo,Random Forest,9.673695297366576,22.30335537194516
Denmark,ARIMA,30.06201673496322,14.514755716080794
Denmark,Exponential Smoothing,34.10408403509186,16.465717577587426
Denmark,Gradient Boosting (XGB substitute),15.21676557100783,6.510084543521057
Denmark,Random Forest,18.041946396809223,8.327220171501864
Djibouti,ARIMA,0.4198049744668058,11.366539321157692
Djibouti,Exponential Smoothing,0.2988040311034359,6.177194519175666
Djibouti,Gradient Boosting (XGB substitute),0.8704491591687914,15.4229082452021
Djibouti,Random Forest,0.34227432589289125,7.781638846779115
Dominica,ARIMA,0.044625208449090056,4.545782131184423
Dominica,Exponential Smoothing,0.11262616496585878,11.606624354576747
Dominica,Gradient Boosting (XGB substitute),0.042564964543521266,4.281752751803788
Dominica,Random Forest,0.039867299418986424,3.968637865602423
Dominican Republic,ARIMA,11.38211877936896,8.876790071693826
Dominican Republic,Exponential Smoothing,6.9202339568261655,6.002480627969791
Dominican Republic,Gradient Boosting (XGB substitute),24.64256213151945,20.26248377613197
Dominican Republic,Random Forest,21.592291149276743,17.58278472940462
East Timor,ARIMA,0.24375941299915813,10.091033219113948
East Timor,Exponential Smoothing,0.47587045857440063,20.156942869997273
East Timor,Gradient Boosting (XGB substitute),0.03985598979407933,1.506832370061816
East Timor,Random Forest,0.048404139974455807,1.9669709479426378
Eastern Africa (EI),ARIMA,64.76514953605371,9.547340452125376
Eastern Africa (EI),Exponential Smoothing,33.397769573850674,4.7161300786853575
Eastern Africa (EI),Gradient Boosting (XGB substitute),166.21538962964337,24.25026980856623
Eastern Africa (EI),Random Forest,182.64643267032528,27.156711618552137
Ecuador,ARIMA,15.51582059132731,6.93502735373819
Ecuador,Exponential Smoothing,15.407005620511997,6.808836094214049
Ecuador,Gradient Boosting (XGB substitute),38.366310723348406,16.43597217998533
Ecuador,Random Forest,44.898976505776744,20.11194900405172
Egypt,ARIMA,173.98914558785995,14.379598600404528
Egypt,Exponential Smoothing,197.409945002804,16.15450626912597
Egypt,Gradient Boosting (XGB substitute),101.57032579203883,8.392994979352075
Egypt,Random Forest,123.87765646535603,10.81306149785149
El Salvador,ARIMA,2.7939952833557213,4.699261254099667
El Salvador,Exponential Smoothing,1.7489570380531032,3.872375243449402
El Salvador,Gradient Boosting (XGB substitute),5.454198054581884,9.896446812571075
El Salvador,Random Forest,4.922585717731379,8.901777672313454
Equatorial Guinea,ARIMA,6.554486730895205,22.401248159851647
Equatorial Guinea,Exponential Smoothing,13.355831752401517,48.3894056443406
Equatorial Guinea,Gradient Boosting (XGB substitute),5.600067771709759,19.152957936721503
Equatorial Guinea,Random Forest,5.3577272227297685,17.906458007459417
