country,best_model_by_RMSE,RMSE,MAPE
Mali,Exponential Smoothing,2.78228112032182,9.62605483699081
Malta,Exponential Smoothing,4.737330763172028,11.371559661390435
Martinique,ARIMA,4.12671482455828,2193173418.1462417
Mauritania,Exponential Smoothing,3.9691586525551044,19.451492866895304
Mauritius,Exponential Smoothing,1.9754285343439735,5.292516532801604
Mexico,Gradient Boosting (XGB substitute),92.10875341207145,2.9625008604847767
Micronesia (country),Exponential Smoothing,0.044356642624326,5.687861841479396
Middle Africa (EI),ARIMA,15.331166424077004,4.25855089257241
Middle East (EI),ARIMA,980.3501234861754,7.516562222607772
Middle East (EIA),Gradient Boosting (XGB substitute),1048.9682925685463,8.36564508927898
Moldova,ARIMA,4.261455998691833,5.8359434613129055
Mongolia,Exponential Smoothing,4.55578086820533,5.120940108039592
Montenegro,Exponential Smoothing,0.6861608127096857,4.610404699728422
Montserrat,Gradient Boosting (XGB substitute),0.030977902353317578,16.78042069506611
Morocco,ARIMA,16.623475850568845,5.878237389188999
Mozambique,ARIMA,8.313608482238982,9.828621219249746
Myanmar,ARIMA,44.37799191578172,22.924144764077464
Namibia,ARIMA,0.9367438730855896,3.4399691500523626
Nauru,ARIMA,0.04883308702481563,11.65861303429078
Nepal,Exponential Smoothing,9.595931016025974,17.95355518648119
Netherlands,Random Forest,52.71577467429313,4.062494483775256
Netherlands Antilles,Random Forest,3.377959288305828,3.748766350829466
New Caledonia,Exponential Smoothing,2.584623506636706,10.90552645079475
New Zealand,ARIMA,11.988789581760932,4.341462878827036
Nicaragua,Exponential Smoothing,2.250152200843975,7.3559549217116995
Niger,Gradient Boosting (XGB substitute),1.1454996549431662,9.970141689528045
Nigeria,ARIMA,137.67345147554127,27.606234981775923
Niue,Exponential Smoothing,0.0020834508300673015,5.961024477753384
Non-OECD (EI),ARIMA,4239.24976122095,2.8230650972568343
Non-OECD (EIA),ARIMA,1573.5789044721428,1.0821374410473021
Non-OPEC (EIA),Exponential Smoothing,3468.395164568616,1.46904958394461
North America,Gradient Boosting (XGB substitute),605.38674102136,1.291266239150346
North America (EI),ARIMA,675.116555362389,1.5401445545966619
North Korea,Exponential Smoothing,35.54108222025389,33.54293187159929
North Macedonia,Random Forest,1.6882674503504156,5.059775536074929
Northern Mariana Islands,ARIMA,0.0,0.0
Norway,Random Forest,31.70818833658072,4.877529799279086
OECD (EI),ARIMA,1582.3000038115383,1.7680931170170684
OECD (EIA),Random Forest,1462.0208701867155,1.4827227286791518
OPEC (EIA),Gradient Boosting (XGB substitute),976.9307905573722,7.4543622931788445
Oceania,Gradient Boosting (XGB substitute),84.07174265219939,3.9978031468485464
Oman,ARIMA,21.630688610907875,4.602209708869429
Pakistan,Exponential Smoothing,151.1078807510077,14.870105057893
Palestine,ARIMA,1.4029624850143279,5.625010126990661
Panama,Exponential Smoothing,9.084392783910825,6.222484216735922
Papua New Guinea,Exponential Smoothing,4.084395613047614,14.128145988519572
Paraguay,Gradient Boosting (XGB substitute),10.503022171348256,7.075642678196188
Persian Gulf (EIA),Gradient Boosting (XGB substitute),1061.7259884170055,9.560918166790259
Peru,ARIMA,25.27372995007798,6.523071177108407
Philippines,Exponential Smoothing,123.4668849948697,20.473007732921168
Poland,Random Forest,47.84081342500447,3.163954983231005
Portugal,ARIMA,17.080572643392056,5.365713516440172
Puerto Rico,Random Forest,11.474891652942517,12.076838360655204
Qatar,ARIMA,62.94524621598061,9.740173751028602
Reunion,ARIMA,2.6305452207723947,21520227172.5025
Romania,Gradient Boosting (XGB substitute),34.8598887239859,8.780335238928417
Russia,Random Forest,450.7641632674162,4.7614353114466335
Rwanda,Exponential Smoothing,0.28133599721222474,3.4446097045487436
Saint Helena,ARIMA,0.005912934351753367,12.526279479411711
Saint Kitts and Nevis,Gradient Boosting (XGB substitute),0.057625078917690156,4.470647190356051
Saint Lucia,Exponential Smoothing,0.24007921217761033,7.969069260643461
Saint Pierre and Miquelon,Random Forest,0.028379048218321132,6.060227363087005
Saint Vincent and the Grenadines,Gradient Boosting (XGB substitute),0.14799889849310788,12.53825298276727
Samoa,Exponential Smoothing,0.13625647500268828,8.545517825235867
Sao Tome and Principe,ARIMA,0.020621938399870518,2.709061313686081
Saudi Arabia,ARIMA,229.84471586368633,7.205518958841424
Senegal,Exponential Smoothing,8.055416771694599,18.45307561963854
Serbia,Gradient Boosting (XGB substitute),8.226654213668033,3.687631129090083
Serbia and Montenegro,Random Forest,12.99915096379965,3.4810174519418458
Seychelles,Exponential Smoothing,0.34232731230264424,5.768236042508066
Sierra Leone,Exponential Smoothing,0.4852329705043212,7.868055076285492
Singapore,Gradient Boosting (XGB substitute),107.03719896519301,10.069734031613962
Slovakia,ARIMA,6.936284653476861,3.1661385423684587
Slovenia,ARIMA,4.291128428010005,4.713737269238219
Solomon Islands,Random Forest,0.1384099685448697,8.966564989425878
Somalia,ARIMA,0.1295428324470673,3.1638686519229764
South Africa,Random Forest,42.35442838001243,2.6728012385067297
South America,Gradient Boosting (XGB substitute),449.21896083868353,5.701017993371093
South Korea,Gradient Boosting (XGB substitute),240.1300420031663,6.188415681203208
South and Central America (EI),Gradient Boosting (XGB substitute),483.25281312651214,5.432997691826197
Spain,ARIMA,53.305683641168066,2.7834896944491314
Sri Lanka,ARIMA,14.275679600888157,10.717232891954625
Sudan,Exponential Smoothing,7.65368431973512,5.504394943100191
Suriname,Exponential Smoothing,0.8276773681792069,5.727827293787129
Sweden,Random Forest,22.433989497294014,2.689743059543237
Switzerland,Random Forest,18.48094672759681,4.957704345748425
Syria,ARIMA,23.916151933086475,16.313880142411563
Taiwan,Random Forest,70.5322013056377,4.81424980025893
Tajikistan,Random Forest,7.905259280461602,8.411461800279358
Tanzania,Gradient Boosting (XGB substitute),8.376461744135929,13.986830757208468
Thailand,ARIMA,95.3849036648667,5.436498146769637
Togo,Gradient Boosting (XGB substitute),1.460051247642248,13.589183808021504
Tonga,Exponential Smoothing,0.07594581389336263,9.140630569208165
Trinidad and Tobago,Random Forest,29.90350673688879,13.545347917265852
Tunisia,Exponential Smoothing,14.498135058458718,11.852141563439659
Turkey,Exponential Smoothing,139.52930899149047,6.666816037047692
Turkmenistan,Exponential Smoothing,39.727412293288424,8.225798924072048
Turks and Caicos Islands,Exponential Smoothing,0.0769467656585714,5.384775038394195
Tuvalu,ARIMA,0.0,0.0
U.S. Pacific Islands (EIA),Random Forest,0.5287916763868825,2374340611.9756446
U.S. Territories (EIA),ARIMA,0.0,0.0
USSR,Gradient Boosting (XGB substitute),1173.8004165537013,6.0213899618964035
Uganda,Exponential Smoothing,5.836082664599315,16.847457751708976
Ukraine,ARIMA,135.5261768780984,13.52847113263658
United Arab Emirates,ARIMA,85.95616527048725,5.774736416955032
United Kingdom,Exponential Smoothing,230.62371667644868,8.892634264431907
United States,Gradient Boosting (XGB substitute),725.269622784955,2.199890171867612
United States Virgin Islands,ARIMA,13.013656049655218,124.37917938709646
Upper-middle-income countries,ARIMA,2050.5967474998024,2.234665968318525
Uruguay,Exponential Smoothing,4.511388645783486,6.737907298817329
Uzbekistan,Exponential Smoothing,17.899511347182024,3.0391144336922844
Vanuatu,Exponential Smoothing,0.1687123497684822,14.029780690670485
Venezuela,Random Forest,127.15402720623682,14.463620434153167
Vietnam,Exponential Smoothing,123.96835313081229,9.20869102288535
Wake Island (EIA),Gradient Boosting (XGB substitute),2.587663801631902,12194697343.090946
Western Africa (EI),ARIMA,211.79564142722953,21.564414632725647
Western Sahara,Gradient Boosting (XGB substitute),0.017297124652437306,1.2217966850772275
World,ARIMA,2182.43759623304,0.8581034849009165
Yemen,Gradient Boosting (XGB substitute),17.363973966653642,29.105742680165125
Yugoslavia,Gradient Boosting (XGB substitute),35.79849483151116,3.097424495651315
Zambia,Exponential Smoothing,3.8400465839726303,5.865472144650805
Zimbabwe,Gradient Boosting (XGB substitute),4.111129619324797,6.831691688275145
